adult,gender,id,known_for_department,name,original_name,popularity,profile_path,cast_id,character,credit_id,order
False,2,5248,Acting,Lee J. Cobb,Lee J. Cobb,9.741,/yxMxBvM0PZwu7YXQamG0kFwt9DZ.jpg,59,Juror 3,5e93b0a584448e0014910883,2
False,2,5249,Acting,E.G. Marshall,E.G. Marshall,5.222,/bZeu3BhYFP99dwIMobFR2xuRfRy.jpg,60,Juror 4,5e93b0ae7a97ab00120dd261,3
False,2,5250,Acting,Jack Klugman,Jack Klugman,5.557,/7nJaWFPn1ppfbp3Ai3CnTtUm0PE.jpg,61,Juror 5,5e93b0bd84448e001291147f,4
False,2,2651,Acting,Edward Binns,Edward Binns,2.415,/yArh2xuVq6pGbecNmYSmT9FdOzC.jpg,62,Juror 6,5e93b0c8ccb15f00136fd2a4,5
False,2,5251,Acting,Jack Warden,Jack Warden,8.933,/hSShXiYMfRpMByaB5euZ59qCKN.jpg,63,Juror 7,5e93b0d3875d1a001444ade1,6
False,2,225730,Acting,Ryunosuke Kamiki,Ryunosuke Kamiki,10.855,/ut7ewXjdgUmgkhJ1EtbOo9tbc7s.jpg,28,Taki Tachibana (voice),58a0634e9251412603006efc,0
False,1,1369100,Acting,Mone Kamishiraishi,Mone Kamishiraishi,9.569,/9gewWa82e0tviXmBB94bJdcEAEW.jpg,12,Mitsuha Miyamizu (voice),57b915b0c3a3685c15002500,1
False,2,1668610,Acting,Ryo Narita,Ryo Narita,7.031,/2EFimbwi4lf9B19cgu2bJaNJiVq.jpg,19,Katsuhiko Teshigawara (voice),57b915c89251413f5700273c,2
False,1,936275,Acting,Aoi Yuki,Aoi Yuki,13.019,/4kHNZSUIux52UU2BD3H6b5c5ymZ.jpg,16,Sayaka Natori (voice),57b915be92514141ae002413,3
False,2,1210634,Acting,Nobunaga Shimazaki,Nobunaga Shimazaki,9.106,/iJFlSanoNgJMP31qBGCT9HzxFbi.jpg,13,Tsukasa Fujii (voice),57b915b492514141e3002673,4
False,2,1324666,Acting,Kaito Ishikawa,Kaito Ishikawa,6.222,/fzjIkotjUHHs3wgftM9tqdsG8ph.jpg,18,Shinta Takagi (voice),57b915c5925141423e00277d,5
False,1,1344919,Acting,Kanon Tani,Kanon Tani,2.597,/xY3JBxs6blBe2AvyS678bcs76Vc.jpg,15,Yotsuha Miyamizu (voice),57b915bb9251413f57002738,6
False,2,20738,Acting,Song Kang-ho,Song Kang-ho,10.294,/dyWUKQlNyr7SUAjo58VZXvPODkr.jpg,0,Kim Ki-taek,5a4db31fc3a3683b82003a00,0
False,2,115290,Acting,Lee Sun-kyun,Lee Sun-kyun,12.844,/mwF2HgyEF2UzxSvNRJEtbWlKbAj.jpg,2,Park Dong-ik,5bcf34f9c3a3686637014df3,1
False,1,556435,Acting,Cho Yeo-jeong,Cho Yeo-jeong,17.488,/n7YWOoquBL9g3qEwQ2zvrQSW96L.jpg,3,Yeon-kyo,5bcf351f92514172df0118e1,2
False,2,1255881,Acting,Choi Woo-shik,Choi Woo-shik,16.999,/bIdt6LrqMpGQtGTZ1gmji6eGzTH.jpg,4,Ki-woo,5bcf358dc3a368662f013901,3
False,1,1442583,Acting,Park So-dam,Park So-dam,11.645,/gaDnEiMD5PClT9ARg1bSFyexbor.jpg,5,Ki-jung,5bcf359b0e0a26624f012c00,4
False,1,1572354,Acting,Lee Jung-eun,Lee Jung-eun,6.0,/4r3K47UpSmzZ5t9cyTRRqRl9rdz.jpg,8,Moon-gwang,5bcfb7620e0a266245022d44,5
False,1,2158882,Acting,Jang Hye-jin,Jang Hye-jin,7.904,/pZiQXSWwo9F4gncHfa1yw0CQjxk.jpg,7,Chung-sook,5bcfb74bc3a36866370257e5,6
False,2,3894,Acting,Christian Bale,Christian Bale,26.789,/b7fTC9WFkgqGOv77mLQtmD4Bwjx.jpg,35,Bruce Wayne / Batman,52fe4220c3a36847f8005d17,0
False,2,1810,Acting,Heath Ledger,Heath Ledger,20.432,/5Y9HnYYa9jF4NunY9lSgJGjSe8E.jpg,3,Joker,52fe421fc3a36847f8005cbf,1
