id,title,cast
185,A Clockwork Orange,"[56890, 2264, 2265, 2274, 2267, 2268, 117548]"
490,The Seventh Seal,"[6649, 6656, 6658, 2201, 6657, 6661, 6665]"
610892,Violet Evergarden: Eternity and the Auto Memory Doll,"[1224288, 1249310, 936275, 1254052, 84508, 223687, 144648]"
16869,Inglourious Basterds,"[287, 19119, 27319, 16847, 17288, 9824, 3872]"
791373,Zack Snyder's Justice League,"[880, 73968, 90633, 117642, 132157, 1313559, 9273]"
592350,My Hero Academia: Heroes Rising,"[1325962, 1245094, 2040402, 1919754, 1247771, 1309253, 149894]"
857,Saving Private Ryan,"[31, 3197, 12833, 1892, 12834, 6163, 12835]"
11,Star Wars,"[2, 3, 4, 5, 12248, 6, 130]"
10098,The Kid,"[13848, 19426, 21301, 63378, 21306, 94180, 239239]"
755812,"Miraculous World: New York, United HeroeZ","[1762588, 1558832, 1758915, 1762590, 1762589, 1373143, 1364266]"
98,Gladiator,"[934, 73421, 935, 936, 194, 937, 938]"
1398,Stalker,"[28078, 8475, 1190992, 28079, 28080, 1073948, 1626954]"
1124,The Prestige,"[6968, 3894, 3895, 1245, 15556, 7487, 1333]"
603,The Matrix,"[6384, 2975, 530, 1331, 532, 9372, 9378]"
422,8½,"[5676, 4959, 5682, 5683, 5684, 5685, 4116]"
313106,Doctor Who: The Day of the Doctor,"[136532, 20049, 5049, 1080542, 26076, 73245, 11840]"
50014,The Help,"[54693, 19492, 6944, 18997, 83002, 221098, 999605]"
810693,Jujutsu Kaisen 0,"[77927, 119143, 1221114, 9705, 1281498, 1254052, 90567]"
629,The Usual Suspects,"[5168, 9045, 1979, 9046, 7166, 4935, 2179]"
518068,Along with the Gods: The Last 49 Days,"[75913, 150125, 1128106, 1024395, 118976, 73249, 1203792]"
11324,Shutter Island,"[6193, 103, 2282, 1812, 1246, 1276, 2201]"
762975,Purple Hearts,"[1331457, 1425934, 1382755, 1643043, 1496755, 57251, 2126621]"
476292,Maquia: When the Promised Flower Blooms,"[1835721, 19588, 144655, 1253008, 186341, 1241566, 1254671]"
324786,Hacksaw Ridge,"[37625, 65731, 4937, 20374, 972356, 1331, 1213279]"
426,Vertigo,"[854, 5729, 5730, 5731, 5732, 5737, 5738]"
77,Memento,"[529, 530, 532, 534, 535, 536, 537]"
